epoch,train_acc,train_loss,test_acc,test_loss
79,62.99,3.1142283000183104,76.66,1.2363522312164306
80,63.114,3.1386120025634767,76.9,1.2248288496017457
81,63.258,3.1034358041381838,77.29,1.2069523033142089
82,63.1,3.077200935821533,76.39,1.272304683303833
83,63.626,3.1116413278198243,76.79,1.21413148021698
84,63.566,3.15557182434082,77.25,1.2057523197174072
85,63.666,3.1196857405090332,77.66,1.181853610229492
86,63.9,3.090712678222656,77.66,1.1995369134902953
87,63.988,3.0835014883422853,77.88,1.2010717035293579
88,63.984,3.1704093789672854,77.71,1.219897374534607
89,64.164,3.149892970428467,78.01,1.2023750279426575
90,64.364,3.188801697769165,78.27,1.1963772033691407
91,64.328,3.1233720053100584,78.37,1.20673364982605
92,64.966,3.184381898956299,78.68,1.1918684190750122
93,64.546,3.1770151403808593,78.43,1.2057278993606568
94,65.202,3.1478404634094237,79.45,1.1588110664367677
95,65.248,3.1904603941345213,78.57,1.1716856466293335
96,65.33,3.1964976127624514,78.46,1.2052899982452392
97,65.522,3.1296948268127442,79.52,1.130846667289734
98,65.146,3.2036661373901367,78.91,1.1893198179244995
99,65.342,3.2202956382751466,79.16,1.2177271276474
100,65.558,3.233833728942871,79.22,1.1938902465820314
101,65.19,3.5504821810913088,78.98,1.3357591796875
102,64.606,3.599580865936279,78.56,1.4015401723861693
103,64.468,3.7078780964660645,78.25,1.4686534547805785
104,64.394,3.7876347663879395,78.1,1.5016068344116211
105,64.466,3.815650180206299,78.11,1.5118283096313476
106,64.266,3.826568676300049,78.18,1.5359161298751831
107,64.302,3.8389711599731444,78.07,1.5481315107345581
108,64.282,3.9051672889709472,77.98,1.573059992980957
109,64.184,3.8931402558898927,78.47,1.5494467742919922
110,64.088,3.9246483586120604,78.25,1.6360565280914308
111,64.038,3.951328684539795,78.13,1.5811128238677978
112,64.25,3.8794156523132326,78.63,1.5418430122375488
